# Data generated with parameters list1 13
0.425259 0.0394141 0.0700997 0.176993 0.209613 0.0786209 0.867848 0.131303
# Data generated with parameters list2 13
0.448195 8.07397e-56 0.148302 0.0627819 0.158289 0.182432 1.02029 0.305866
# Data generated with parameters list3 13
0.396487 0.0221362 1.75338e-22 0.249774 0.136042 0.195561 1.17787 0.191838
# Data generated with parameters list4 13
0.41218 2.69778e-06 0.0941474 0.211506 0.0262001 0.255963 0.816715 0.118062
