0.485715 2.351e-79 8.09032e-43 4.05515e-50 1.67622e-23 0.514285 0.494084 0.375122

0.482062 1.65096e-80 1.51391e-19 2.02911e-34 0.00179536 0.516143 0.484024 0.380734

0.483953 1.08342e-78 2.91798e-38 8.1913e-44 0.000301275 0.515746 0.489571 0.380823

0.484245 2.87887e-78 1.78641e-36 2.50465e-43 1.20073e-10 0.515755 0.496106 0.383685

0.484974 3.25526e-78 6.76362e-36 5.02316e-42 3.28884e-09 0.515026 0.501684 0.389519

0.485097 5.48605e-77 1.31512e-36 2.69299e-42 7.65484e-08 0.514903 0.503576 0.391971

