0.36441 0.235161 0.591696 0.220719 0.164792 0.798999 0.429405
0.335712 0.214801 0.572281 0.201427 0.147181 0.760287 0.399512
0.31126 0.198157 0.555638 0.185551 0.133031 0.725545 0.373909
0.290221 0.184291 0.541139 0.172271 0.121439 0.694149 0.351754
0.271962 0.172554 0.528328 0.161006 0.111785 0.665608 0.332412
0.255996 0.16248 0.516868 0.151338 0.10363 0.639523 0.315395
0.241941 0.153728 0.506503 0.142957 0.0966528 0.615567 0.300321
0.229495 0.146043 0.49704 0.13563 0.0906167 0.593478 0.286886
0.218415 0.139232 0.488325 0.129179 0.0853413 0.573028 0.274849
0.208504 0.133144 0.480243 0.123463 0.0806893 0.554035 0.264012
0.199601 0.127661 0.472696 0.118374 0.076553 0.536339 0.254211
0.191571 0.12269 0.465611 0.113821 0.0728479 0.519808 0.245313
0.184303 0.118156 0.458924 0.109733 0.0695064 0.504323 0.237205
0.177702 0.113996 0.452585 0.106051 0.0664744 0.489785 0.22979
0.17169 0.110163 0.446552 0.102723 0.0637076 0.476107 0.222989
0.166199 0.106613 0.440788 0.0997093 0.06117 0.463211 0.216732
0.16117 0.103313 0.435263 0.0969733 0.0588317 0.451031 0.21096
0.156551 0.100234 0.429955 0.0944842 0.0566681 0.439508 0.205621
0.152301 0.0973512 0.424839 0.0922164 0.0546582 0.428589 0.20067
0.148381 0.0946442 0.419897 0.0901465 0.0527845 0.418226 0.196068
0.364584 0.235045 0.591447 0.220773 0.164719 0.798627 0.429452
0.335894 0.214681 0.572025 0.201487 0.147102 0.759867 0.399566
0.311447 0.198037 0.555385 0.185617 0.132945 0.725083 0.373967
0.29041 0.184175 0.540901 0.17234 0.121349 0.693653 0.351815
0.272149 0.172445 0.528116 0.161077 0.111693 0.665086 0.332473
0.256179 0.162381 0.516689 0.151409 0.103536 0.63898 0.315455
0.242119 0.153642 0.506365 0.143028 0.096558 0.615011 0.300379
0.229665 0.145973 0.496948 0.1357 0.0905221 0.592911 0.286941
0.218576 0.13918 0.488288 0.129245 0.0852483 0.572461 0.274899
0.208654 0.133111 0.480263 0.123527 0.0805981 0.55347 0.264056
